Date,Time,CE_strikes,PE_strikes
2025-01-01,09:15,"23500,23600,23700,23750,23800,23850,24000,24100,24300,24400,24500,24600","22500,22900,23000,23100,23200,23300,23400,23500,23600,23650,23700,23800,23900,24000,24100,24200,24300,24600"
2025-01-01,09:20,"22500,23000,23400,23450,23500,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,24150,24200,24250,24300,24350,24400,24500,24600","22500,22750,22800,23000,23100,23200,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,24200,24300,24350,24500"
2025-01-01,09:25,"23000,23500,23600,23700,23800,23900,23950,24000,24200,24300,24400,24500,24600","22500,22700,22750,23000,23100,23200,23300,23400,23500,23550,23600,23650,23700,23800,23900,23950,24000,24100,24500"
2025-01-01,09:30,"23000,23200,23500,23600,23650,23700,23800,23900,24000,24050,24100,24300,24350,24500,24600","22500,22700,22800,22900,23000,23200,23300,23400,23450,23500,23600,23650,23700,23800,24000,24200,24500"
2025-01-01,09:35,"23400,23500,23600,23700,23750,23800,23850,23900,24000,24100,24150,24200,24300,24350,24500,24600","22500,22700,22800,22900,23000,23200,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24500,24600"
2025-01-01,09:40,"23000,23500,23600,23650,23700,23800,23900,24000,24050,24150,24200,24300,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23200,23300,23400,23500,23600,23650,23700,23750,23800,23900,24000,24100,24200,24600"
2025-01-01,09:45,"22500,23000,23500,23600,23700,23750,23800,23850,23900,23950,24000,24050,24150,24200,24250,24300,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23600,23700,23800,23900,24000,24100,24200,24300,24500"
2025-01-01,09:50,"22500,23000,23500,23550,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23650,23800,24000,24500,24600"
2025-01-01,09:55,"23000,23450,23500,23700,23800,23900,24000,24100,24150,24200,24250,24300,24350,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23650,23700,23750,23800,23900,24000,24200,24400,24500"
2025-01-01,10:00,"23500,23600,23700,23750,23800,23850,23900,24000,24100,24200,24300,24350,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23550,23600,23700,23800,24000,24100,24200,24400,24500"
2025-01-01,10:05,"23500,23600,23700,23800,23900,24000,24100,24150,24200,24300,24350,24400,24500","22400,22500,22600,22900,23000,23200,23300,23400,23500,23600,23650,23700,23800,23900,24000,24200,24400,24500,24600"
2025-01-01,10:10,"22500,23000,23200,23400,23500,23600,23700,23750,23800,23850,23900,24000,24100,24150,24200,24300,24350,24400,24500,24600","22500,22700,22800,23000,23200,23300,23400,23500,23600,23650,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600"
2025-01-01,10:15,"22500,23000,23450,23500,23600,23700,23800,23900,24000,24100,24200,24300,24350,24400,24500,24600","22400,22500,22600,22800,22900,23000,23100,23300,23500,23600,23700,24000,24100,24200,24300,24500"
2025-01-01,10:20,"22500,23400,23450,23500,23600,23700,23800,23900,24000,24200,24300,24500,24600","22400,22500,22700,23000,23300,23400,23500,23600,23800,24000"
2025-01-01,10:25,"22500,23500,23600,23650,23700,23800,23900,24000,24050,24100,24200,24300,24400,24500,24550,24600","22400,22500,22700,22800,23000,23300,23400,23450,23500,23600,23650,23700,23800,24000,24050,24400,24500"
2025-01-01,10:30,"23000,23200,23500,23600,23800,23900,24000,24050,24100,24150,24200,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23300,23400,23500,23600,23650,23700,23800,23900,24000,24200,24400"
2025-01-01,10:35,"22500,23000,23500,23600,23650,23700,23800,24000,24100,24300,24400,24500,24600","22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23650,23800,24000,24200,24300,24500,24600"
2025-01-01,10:40,"23500,23700,23750,23800,23850,23900,24000,24100,24200,24300,24350,24400,24500,24600","22500,22600,22700,23000,23300,23500,23600,23650,23700,23800,23900,24000"
2025-01-01,10:45,"22500,23000,23500,23600,23650,23700,23800,23850,23900,24000,24100,24200,24300,24350,24400,24500,24600","22400,22500,22900,23000,23300,23400,23450,23500,23600,23700,23900,24000,24150,24300,24400"
2025-01-01,10:50,"23000,23500,23600,23700,23800,23850,23900,23950,24000,24050,24100,24200,24250,24300,24350,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23600,23650,23700,23800,23900,24000,24250,24300,24400,24500"
2025-01-01,10:55,"23000,23500,23600,23700,23850,23900,23950,24000,24100,24200,24300,24350,24500","22400,22500,22600,22750,22900,22950,23000,23100,23200,23300,23400,23500,23600,23650,23700,23750,23800,23850,23900,23950,24000,24100,24500"
2025-01-01,11:00,"22500,23500,23600,23700,23750,23800,23850,23900,24000,24050,24100,24200,24250,24300,24350,24400,24500,24550,24600","22400,22500,22600,22700,22750,22800,22900,23000,23300,23400,23500,23550,23600,23650,23700,23750,23800,23850,23950,24000,24200,24300"
2025-01-01,11:05,"22500,23000,23500,23700,23800,23850,23900,23950,24000,24150,24200,24300,24500,24550","22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23750,23800,23850,23900,24000,24100,24500,24600"
