Date,Time,Type,Strike,Open_5m
2025-01-01,09:15,CE,23500,772.9
2025-01-01,09:15,CE,23600,715.7
2025-01-01,09:15,CE,23700,653.35
2025-01-01,09:15,CE,23750,633.8
2025-01-01,09:15,CE,23800,593.95
2025-01-01,09:15,CE,23850,549.95
2025-01-01,09:15,CE,24000,488.2
2025-01-01,09:15,CE,24100,436.4
2025-01-01,09:15,CE,24300,350.0
2025-01-01,09:15,CE,24400,316.2
2025-01-01,09:15,CE,24500,285.0
2025-01-01,09:15,CE,24600,244.55
2025-01-01,09:15,PE,22500,123.65
2025-01-01,09:15,PE,22900,189.0
2025-01-01,09:15,PE,23000,214.35
2025-01-01,09:15,PE,23100,241.75
2025-01-01,09:15,PE,23200,264.15
2025-01-01,09:15,PE,23300,290.45
2025-01-01,09:15,PE,23400,320.85
2025-01-01,09:15,PE,23500,347.1
2025-01-01,09:15,PE,23600,390.1
2025-01-01,09:15,PE,23650,402.0
2025-01-01,09:15,PE,23700,429.95
2025-01-01,09:15,PE,23800,475.05
2025-01-01,09:15,PE,23900,515.95
2025-01-01,09:15,PE,24000,550.0
2025-01-01,09:15,PE,24100,615.05
2025-01-01,09:15,PE,24200,659.4
2025-01-01,09:15,PE,24300,727.05
2025-01-01,09:15,PE,24600,934.15
2025-01-01,09:20,CE,22500,1525.0
2025-01-01,09:20,CE,23000,1110.0
2025-01-01,09:20,CE,23400,838.0
2025-01-01,09:20,CE,23450,796.65
2025-01-01,09:20,CE,23500,770.0
2025-01-01,09:20,CE,23600,719.6
2025-01-01,09:20,CE,23650,678.8
2025-01-01,09:20,CE,23700,642.7
2025-01-01,09:20,CE,23750,624.05
2025-01-01,09:20,CE,23800,595.0
2025-01-01,09:20,CE,23850,563.65
2025-01-01,09:20,CE,23900,536.8
2025-01-01,09:20,CE,23950,512.85
2025-01-01,09:20,CE,24000,492.95
2025-01-01,09:20,CE,24050,465.6
2025-01-01,09:20,CE,24100,441.95
2025-01-01,09:20,CE,24150,414.35
2025-01-01,09:20,CE,24200,395.25
2025-01-01,09:20,CE,24250,374.65
2025-01-01,09:20,CE,24300,350.25
2025-01-01,09:20,CE,24350,334.6
2025-01-01,09:20,CE,24400,312.8
2025-01-01,09:20,CE,24500,282.0
2025-01-01,09:20,CE,24600,249.5
2025-01-01,09:20,PE,22500,121.5
2025-01-01,09:20,PE,22750,165.0
2025-01-01,09:20,PE,22800,169.3
2025-01-01,09:20,PE,23000,211.7
2025-01-01,09:20,PE,23100,235.5
2025-01-01,09:20,PE,23200,263.95
