Date,Time,CE_21500,CE_21600,CE_22000,CE_22200,CE_22250,CE_22300,CE_22350,CE_22400,CE_22450,CE_22500,CE_22550,CE_22600,CE_22650,CE_22700,CE_22750,CE_22800,CE_22850,CE_22900,CE_22950,CE_23000,CE_23050,CE_23100,CE_23150,CE_23200,CE_23250,CE_23300,CE_23350,CE_23400,CE_23450,CE_23500,CE_23550,CE_23600,CE_23650,CE_23700,CE_23750,CE_23800,CE_23850,CE_23900,CE_23950,CE_24000,CE_24050,CE_24100,CE_24150,CE_24200,CE_24250,CE_24300,CE_24350,CE_24400,CE_24450,CE_24500,CE_24550,CE_24600,CE_24650,CE_24700,CE_24750,CE_24800,CE_24850,CE_24900,CE_24950,CE_25000,CE_25050,CE_25100,CE_25200,CE_25300,CE_25350,CE_25400,CE_25450,CE_25500,CE_25550,CE_25600,CE_25650,CE_25700,CE_25750,CE_25800,CE_25850,CE_25900,CE_25950,CE_26000,CE_26050,PE_21400,PE_21500,PE_21600,PE_21700,PE_21800,PE_21900,PE_22000,PE_22100,PE_22150,PE_22200,PE_22250,PE_22300,PE_22350,PE_22400,PE_22450,PE_22500,PE_22550,PE_22600,PE_22650,PE_22700,PE_22750,PE_22800,PE_22850,PE_22900,PE_22950,PE_23000,PE_23050,PE_23100,PE_23150,PE_23200,PE_23250,PE_23300,PE_23350,PE_23400,PE_23450,PE_23500,PE_23550,PE_23600,PE_23650,PE_23700,PE_23750,PE_23800,PE_23850,PE_23900,PE_23950,PE_24000,PE_24050,PE_24100,PE_24150,PE_24200,PE_24250,PE_24300,PE_24350,PE_24400,PE_24450,PE_24500,PE_24550,PE_24600,PE_24700,PE_24750,PE_24800,PE_24850,PE_24900,PE_24950,PE_25000,PE_25050,PE_25100,PE_25150,PE_25200,PE_25250,PE_25300,PE_25350,PE_25400,PE_25450,PE_25500,PE_25550,PE_25600,PE_25650,PE_25700,PE_25750,PE_25800,PE_25850,PE_25900,PE_25950,PE_26000,PE_26050
2025-01-01,09:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.9,,715.7,,653.35,633.8,593.95,549.95,,,488.2,,436.4,,,,350.0,,316.2,,285.0,,244.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.65,,,,,,,,189.0,,214.35,,241.75,,264.15,,290.45,,320.85,,347.1,,390.1,402.0,429.95,,475.05,,515.95,,550.0,,615.05,,659.4,,727.05,,,,,,934.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:20,,,,,,,,,,1525.0,,,,,,,,,,1110.0,,,,,,,,838.0,796.65,770.0,,719.6,678.8,642.7,624.05,595.0,563.65,536.8,512.85,492.95,465.6,441.95,414.35,395.25,374.65,350.25,334.6,312.8,,282.0,,249.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5,,,,,165.0,169.3,,,,211.7,,235.5,,263.95,,285.75,,318.55,345.6,355.0,378.9,394.15,416.55,439.95,456.8,464.8,496.7,526.75,545.6,555.0,594.35,619.8,,659.0,,716.95,757.7,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:25,,,,,,,,,,,,,,,,,,,,1106.0,,,,,,,,,,766.3,,705.5,,647.9,,591.0,,533.35,512.55,481.7,,,,389.35,,346.15,,313.65,,273.05,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7,,,,151.25,165.0,,,,,220.4,,244.2,,268.95,,299.95,,327.7,,365.25,379.05,395.0,416.0,440.0,,480.0,,518.6,552.15,575.65,,623.05,,,,,,,,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:30,,,,,,,,,,,,,,,,,,,,1114.0,,,,956.95,,,,,,760.0,,710.2,665.0,638.0,,591.0,,526.15,,485.0,454.3,438.45,,,,343.1,334.4,,,277.85,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.15,,,,155.0,,174.0,,193.0,,218.9,,,,265.2,,300.0,,326.45,346.0,358.4,,401.5,417.95,440.0,,485.75,,,,568.0,,,,680.0,,,,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.05,,758.0,,695.0,,638.0,610.35,578.5,554.5,526.15,,477.7,,430.4,407.15,387.7,,339.0,323.05,,,270.05,,237.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,159.1,,177.95,,200.4,,223.95,,,,275.7,,306.0,,338.5,344.85,372.15,390.45,409.15,430.3,448.95,469.95,492.05,513.8,536.75,560.65,580.0,,,,,,,,,,870.0,,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:40,,,,,,,,,,,,,,,,,,,,1114.0,,,,,,,,,,752.0,,698.55,666.95,645.0,,583.7,,529.0,,479.0,450.0,,407.35,389.55,,348.35,,311.1,,275.0,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,,127.15,,142.85,,158.95,,178.0,,200.4,,222.95,,,,274.3,,310.0,,331.85,,368.3,,410.5,421.3,451.8,472.55,500.0,,538.3,,582.85,,638.45,,683.0,,,,,,,,933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:45,,,,,,,,,,1482.95,,,,,,,,,,1099.0,,,,,,,,,,751.75,,694.85,,632.6,600.6,576.85,545.4,519.45,495.0,475.0,450.0,,401.65,383.75,359.6,339.0,,303.0,,272.45,,238.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,132.4,,146.55,,163.55,,183.9,,203.75,,228.45,,252.3,,282.6,,310.4,,344.25,362.0,376.55,,415.35,,457.85,,500.0,,541.05,,592.75,,639.0,,704.25,,766.0,,,,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:50,,,,,,,,,,1477.5,,,,,,,,,,1084.0,,,,,,,,,,746.15,725.5,681.05,,625.8,,569.0,,517.75,,467.8,,423.0,,378.0,,337.0,,298.2,,268.5,,221.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1,,133.05,,146.55,,164.65,,181.0,,205.3,,231.55,,255.65,,283.65,,312.5,,344.55,,380.7,,421.0,435.65,,,502.95,,,,600.0,,,,,,,,,,888.0,,953.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,09:55,,,,,,,,,,,,,,,,,,,,1084.0,,,,,,,,,782.1,740.1,,,,630.0,,573.75,,521.0,,465.0,,421.0,404.9,375.95,364.6,338.15,325.0,304.5,,266.35,,232.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.15,,133.7,,147.8,,163.3,,183.2,,198.75,,232.95,,251.3,,283.65,,314.5,,349.4,,384.85,,415.2,440.0,454.45,476.2,505.0,,538.95,,603.0,,,,704.25,,,,810.05,,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.3,,698.0,,630.0,599.75,574.5,545.2,521.0,,472.0,,425.2,,375.95,,346.45,319.3,,,270.0,,239.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6,,129.0,,139.6,,160.75,,178.55,,201.0,,225.55,,245.25,,272.65,,306.0,,335.0,,374.25,391.95,409.45,,447.6,,496.95,,,,590.75,,639.0,,701.95,,,,809.75,,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
